asset_id,asset_name,business_area,data_type,contains_personal_data,contains_sensitive_data,data_volume,access_level,external_sharing,data_residency_known,encryption_enabled,retention_defined,business_owner,system_owner,current_status,recommended_retention,retention_rationale,review_frequency,data_classification,privacy_risk_score,privacy_risk_rating,recommended_action,governance_attention_required
DA-003,Research Participant Dataset,Research,Survey and research responses,Yes,Yes,High,Restricted,Yes,Partial,Partial,No,Research Team,Data Governance Team,Active,5 years after project completion,Research reproducibility ethics and governance requirements,Annual,Sensitive,20,Critical,"Complete DPIA review, restrict access, confirm residency, define retention and validate encryption before continued use",Yes
DA-009,Clinical Trial Prototype Data,Research,Health-related prototype dataset,Yes,Yes,Medium,Restricted,No,Partial,Yes,No,Research Team,Data Governance Team,Under Review,Project-specific and ethics-approved period,High sensitivity research and privacy governance,Quarterly,Sensitive,16,Critical,"Complete DPIA review, restrict access, confirm residency, define retention and validate encryption before continued use",Yes
DA-007,Vendor Due Diligence Files,GRC,Vendor assurance documents,Yes,Partial,Medium,Restricted,Yes,Yes,Yes,Yes,GRC Team,Compliance Team,Active,Duration of vendor relationship plus 2 years,Vendor assurance and contract governance,Annual,Potentially Sensitive,13,High,"Complete privacy review, address missing controls and document risk treatment decision",Yes
DA-002,Employee HR Records,Human Resources,Employment records,Yes,Yes,Medium,Restricted,No,Yes,Yes,Yes,HR Team,People Systems Team,Active,7 years after employment ends,Employment administration and legal record keeping,Annual,Sensitive,13,High,"Complete privacy review, address missing controls and document risk treatment decision",Yes
DA-001,Customer Support Tickets,Customer Operations,Customer service records,Yes,No,High,Internal,Yes,Yes,Yes,Partial,Customer Operations Team,Support Systems Team,Active,2 years after case closure,Operational support history and complaint handling requirements,Annual,Personal,12,High,"Complete privacy review, address missing controls and document risk treatment decision",Yes
DA-008,Product Usage Analytics,Product Analytics,Usage behaviour data,Partial,No,High,Internal,Yes,Partial,Yes,No,Product Team,Analytics Team,Active,12 to 24 months depending on purpose,Product analytics minimisation and trend analysis,Semi-Annual,Potentially Personal,12,High,"Complete privacy review, address missing controls and document risk treatment decision",Yes
DA-004,Marketing Newsletter List,Marketing,Contact list,Yes,No,Medium,Internal,Yes,Yes,Yes,Partial,Marketing Team,CRM Team,Active,Until consent withdrawn or inactive for 2 years,Marketing consent and communication relevance,Semi-Annual,Personal,11,Medium,"Review data minimisation, access and retention evidence during next governance cycle",No
DA-005,Finance Invoice Archive,Finance,Invoice and billing records,Yes,No,High,Restricted,No,Yes,Yes,Yes,Finance Team,Finance Systems Team,Active,7 years,Financial record keeping and audit support,Annual,Personal,10,Medium,"Review data minimisation, access and retention evidence during next governance cycle",No
DA-006,Application Log Data,Engineering,System and application logs,Partial,No,High,Internal,No,Yes,Partial,Partial,Engineering Team,Platform Team,Active,12 months,Security monitoring troubleshooting and audit traceability,Quarterly,Potentially Personal,9,Medium,"Review data minimisation, access and retention evidence during next governance cycle",No
DA-010,Public Website Analytics,Marketing,Aggregated web analytics,No,No,High,Internal,Yes,Yes,Yes,Yes,Marketing Team,Web Team,Active,24 months,Trend analysis with reduced privacy risk,Annual,Low Privacy Impact,7,Low,Maintain current controls and review as part of routine governance,No
